"credit reporting, credit repair services, or other personal consumer reports",2018,2,2,50
"credit reporting, credit repair services, or other personal consumer reports",2019,60,23,30
"credit reporting, credit repair services, or other personal consumer reports",2020,1,1,100
"money transfer, virtual currency, or money service",2019,1,1,100
"payday loan, title loan, or personal loan",2019,1,1,100
checking or savings account,2019,1,1,100
checking or savings account,2020,1,1,100
credit card or prepaid card,2019,3,3,33
credit card or prepaid card,2020,1,1,100
debt collection,2019,10,10,10
debt collection,2020,2,2,50
mortgage,2018,1,1,100
mortgage,2019,5,5,20
mortgage,2020,1,1,100
product,Date,1,1,100
student loan,2019,1,1,100
vehicle loan or lease,2019,1,1,100
vehicle loan or lease,2020,1,1,100
